UV,Data,Hora
0.0000,27/05/2022,06:20:52
0.3874,27/05/2022,07:20:52
1.5885,27/05/2022,08:20:52
3.4580,27/05/2022,09:20:52
5.7052,27/05/2022,10:20:52
7.1194,27/05/2022,11:20:52
7.1194,27/05/2022,12:20:52
5.7052,27/05/2022,13:20:52
3.6808,27/05/2022,14:20:52
1.5885,27/05/2022,15:20:52
0.3874,27/05/2022,16:20:52
0.0000,27/05/2022,17:20:52
0.0000,28/05/2022,06:21:15
0.3874,28/05/2022,07:21:15
1.5885,28/05/2022,08:21:15
3.4580,28/05/2022,09:21:15
5.7052,28/05/2022,10:21:15
7.1194,28/05/2022,11:21:15
7.1194,28/05/2022,12:21:15
5.7052,28/05/2022,13:21:15
3.6808,28/05/2022,14:21:15
1.5885,28/05/2022,15:21:15
0.3874,28/05/2022,16:21:15
0.0000,28/05/2022,17:21:15
0.0000,29/05/2022,06:21:38
0.3874,29/05/2022,07:21:38
1.5885,29/05/2022,08:21:38
3.4580,29/05/2022,09:21:38
5.7052,29/05/2022,10:21:38
7.1194,29/05/2022,11:21:38
7.1194,29/05/2022,12:21:38
5.7052,29/05/2022,13:21:38
3.4580,29/05/2022,14:21:38
1.5885,29/05/2022,15:21:38
0.3874,29/05/2022,16:21:38
0.0000,29/05/2022,17:21:38
0.0000,30/05/2022,06:22:01
0.3874,30/05/2022,07:22:01
1.5885,30/05/2022,08:22:01
3.4580,30/05/2022,09:22:01
5.7052,30/05/2022,10:22:01
7.1194,30/05/2022,11:22:01
7.1194,30/05/2022,12:22:01
5.7052,30/05/2022,13:22:01
3.4580,30/05/2022,14:22:01
1.5885,30/05/2022,15:22:01
0.3874,30/05/2022,16:22:01
0.0000,30/05/2022,17:22:01
0.0000,31/05/2022,06:22:24
0.3874,31/05/2022,07:22:24
1.5885,31/05/2022,08:22:24
3.4580,31/05/2022,09:22:24
5.7052,31/05/2022,10:22:24
6.8288,31/05/2022,11:22:24
6.8288,31/05/2022,12:22:24
5.7052,31/05/2022,13:22:24
3.4580,31/05/2022,14:22:24
1.5885,31/05/2022,15:22:24
0.3874,31/05/2022,16:22:24
0.0000,31/05/2022,17:22:24
0.0000,01/06/2022,06:22:46
0.3874,01/06/2022,07:22:46
1.5885,01/06/2022,08:22:46
3.4580,01/06/2022,09:22:46
5.4243,01/06/2022,10:22:46
6.8288,01/06/2022,11:22:46
6.8288,01/06/2022,12:22:46
5.4243,01/06/2022,13:22:46
3.4580,01/06/2022,14:22:46
1.4529,01/06/2022,15:22:46
0.3293,01/06/2022,16:22:46
0.0000,01/06/2022,17:22:46
0.0000,02/06/2022,06:23:09
0.3874,02/06/2022,07:23:09
1.4529,02/06/2022,08:23:09
3.4580,02/06/2022,09:23:09
5.4243,02/06/2022,10:23:09
6.8288,02/06/2022,11:23:09
6.8288,02/06/2022,12:23:09
5.4243,02/06/2022,13:23:09
3.4580,02/06/2022,14:23:09
1.4529,02/06/2022,15:23:09
0.3293,02/06/2022,16:23:09
0.0000,02/06/2022,17:23:09
0.0000,03/06/2022,06:23:31
0.3874,03/06/2022,07:23:31
1.4529,03/06/2022,08:23:31
3.4580,03/06/2022,09:23:31
5.4243,03/06/2022,10:23:31
6.8288,03/06/2022,11:23:31
6.8288,03/06/2022,12:23:31
5.4243,03/06/2022,13:23:31
3.4580,03/06/2022,14:23:31
1.4529,03/06/2022,15:23:31
0.3293,03/06/2022,16:23:31
0.0000,03/06/2022,17:23:31
0.0000,04/06/2022,06:23:52
0.3874,04/06/2022,07:23:52
1.4529,04/06/2022,08:23:52
3.4580,04/06/2022,09:23:52
5.4243,04/06/2022,10:23:52
6.8288,04/06/2022,11:23:52
6.8288,04/06/2022,12:23:52
5.4243,04/06/2022,13:23:52
3.4580,04/06/2022,14:23:52
1.4529,04/06/2022,15:23:52
0.3293,04/06/2022,16:23:52
0.0000,04/06/2022,17:23:52
0.0000,05/06/2022,06:24:14
0.3874,05/06/2022,07:24:14
1.4529,05/06/2022,08:24:14
3.4580,05/06/2022,09:24:14
5.4243,05/06/2022,10:24:14
6.8288,05/06/2022,11:24:14
6.8288,05/06/2022,12:24:14
5.4243,05/06/2022,13:24:14
3.4580,05/06/2022,14:24:14
1.4529,05/06/2022,15:24:14
0.3293,05/06/2022,16:24:14
0.0000,06/06/2022,06:24:34
0.3874,06/06/2022,07:24:34
1.4529,06/06/2022,08:24:34
3.4580,06/06/2022,09:24:34
5.4243,06/06/2022,10:24:34
6.8288,06/06/2022,11:24:34
6.8288,06/06/2022,12:24:34
5.4243,06/06/2022,13:24:34
3.2352,06/06/2022,14:24:34
1.4529,06/06/2022,15:24:34
0.3293,06/06/2022,16:24:34
0.0000,07/06/2022,06:24:55
0.3874,07/06/2022,07:24:55
1.4529,07/06/2022,08:24:55
3.4580,07/06/2022,09:24:55
5.4243,07/06/2022,10:24:55
6.8288,07/06/2022,11:24:55
6.5479,07/06/2022,12:24:55
5.4243,07/06/2022,13:24:55
3.2352,07/06/2022,14:24:55
1.4529,07/06/2022,15:24:55
0.3293,07/06/2022,16:24:55
0.0000,08/06/2022,06:25:15
0.3874,08/06/2022,07:25:15
1.4529,08/06/2022,08:25:15
3.4580,08/06/2022,09:25:15
5.4243,08/06/2022,10:25:15
